trial_number,notes_vector,subject,target,correct,score,block,type
1,"[59, 60, 59, 57, 55, 53]",12,"[60, 60, 60, 60]",0,1,1,1
2,"[53, 60, 60, 59]",12,"[60, 60, 60, 59]",0,3,1,2
3,"[60, 60, 59, 59]",12,"[60, 60, 59, 59]",1,4,1,2
4,"[60, 59, 59, 60]",12,"[60, 59, 59, 60]",1,4,1,2
5,"[60, 59, 60, 59]",12,"[60, 59, 60, 59]",1,4,1,2
6,"[59, 59, 59, 60]",12,"[59, 59, 59, 60]",1,4,1,2
7,"[59, 59, 60, 59]",12,"[59, 59, 60, 59]",1,4,1,2
8,"[59, 60, 59, 60]",12,"[60, 60, 59, 60]",0,3,1,2
9,"[60, 60, 59, 57]",12,"[60, 60, 59, 57]",1,4,1,3
10,"[60, 60, 57, 57]",12,"[60, 60, 57, 57]",1,4,1,2
11,"[60, 60, 57, 60]",12,"[60, 60, 57, 60]",1,4,1,2
12,"[60, 59, 59, 57]",12,"[60, 59, 59, 57]",1,4,1,3
13,"[57, 60, 57, 60]",12,"[57, 60, 57, 60]",1,4,1,2
14,"[57, 57, 60, 59]",12,"[57, 57, 60, 59]",1,4,1,3
15,"[59, 59, 57, 60]",12,"[59, 59, 57, 60]",1,4,1,3
16,"[60, 60, 57, 59]",12,"[60, 60, 57, 59]",1,4,1,3
17,"[60, 59, 57, 57]",12,"[60, 59, 57, 57]",1,4,1,3
18,"[57, 59, 59, 57]",12,"[57, 59, 59, 57]",1,4,1,2
19,"[57, 57, 57]",12,"[57, 57, 57, 55]",0,3,1,2
20,"[55, 57, 57, 55, 57]",12,"[57, 57, 55, 57]",0,1,1,2
21,"[55, 55, 57, 57]",12,"[55, 55, 57, 57]",1,4,1,2
22,"[57, 55, 55, 55]",12,"[57, 55, 55, 55]",1,4,1,2
23,"[55, 57, 55, 57, 56]",12,"[55, 57, 55, 57]",0,4,1,2
24,"[57, 55, 55, 57]",12,"[57, 55, 55, 57]",1,4,1,2
25,"[57, 57, 57, 55]",12,"[57, 57, 57, 55]",1,4,1,2
26,"[57, 57, 55, 55]",12,"[57, 57, 55, 55]",1,4,1,2
27,"[55, 57, 57, 55]",12,"[55, 57, 57, 55]",1,4,1,2
28,"[57, 55, 57, 55]",12,"[57, 55, 57, 55]",1,4,1,2
29,"[59, 57, 55, 55]",12,"[59, 57, 55, 55]",1,4,1,3
30,"[55, 57, 59, 55]",12,"[55, 57, 59, 55]",1,4,1,3
31,"[59, 59, 55, 57]",12,"[59, 59, 55, 57]",1,4,1,3
32,"[55, 59, 55, 55]",12,"[57, 59, 55, 55]",0,3,1,3
33,"[55, 59, 57, 59]",12,"[55, 59, 57, 59]",1,4,1,3
34,"[57, 57, 59, 55]",12,"[59, 57, 59, 55]",0,3,1,3
35,"[57, 57, 55, 59]",12,"[57, 57, 55, 59]",1,4,1,3
