trial_number,notes_vector
81,"[57, 55, 53, 55]"
82,"[60, 57, 53, 55]"
83,"[60, 60, 60, 60]"
84,"[60, 60, 60, 59]"
85,"[60, 60, 59, 59]"
86,"[60, 59, 59, 60]"
87,"[60, 59, 60, 59]"
88,"[59, 59, 59, 60]"
89,"[57, 59, 59, 60, 59]"
90,"[59, 60, 60, 59]"
91,"[60, 60, 59, 57]"
92,"[60, 60, 57, 57]"
93,"[60, 60, 57, 60]"
94,"[60, 59, 59, 57]"
95,"[57, 60, 57, 60]"
96,"[57, 57, 60, 59]"
97,"[59, 59, 57, 60]"
98,"[60, 60, 57, 59]"
99,"[60, 59, 57, 57]"
100,"[57, 59, 59, 57]"
101,"[57, 57, 57, 55]"
102,"[57, 57, 55, 57]"
103,"[55, 55, 57, 57]"
104,"[57, 55, 55, 55]"
105,"[55, 57, 55, 57]"
106,"[57, 55, 55, 57]"
107,"[57, 57, 57, 55]"
108,"[57, 57, 55, 55]"
109,"[55, 57, 57, 55]"
110,"[55, 57, 57]"
111,"[59, 57, 55, 55]"
112,"[55, 57, 59, 55]"
113,"[59, 59, 55, 57]"
114,"[57, 59, 55, 55]"
115,"[55, 59, 57, 59]"
116,"[57, 59, 57, 59]"
117,"[55, 57, 57, 55, 59]"
118,"[59, 55, 59, 57]"
119,"[57, 57, 55, 59]"
120,"[57, 57, 55, 57]"
121,"[57, 59, 57, 55]"
122,"[55, 55, 53, 53]"
123,"[53, 55, 53, 55]"
124,"[55, 53, 55, 55]"
125,"[55, 55, 53, 55]"
126,"[53, 53, 55, 53]"
127,"[53, 53, 55, 55]"
128,"[53, 55, 55, 53]"
129,"[53, 55, 55, 55]"
130,"[53, 53, 53, 55]"
131,"[55, 55, 55, 53]"
132,"[57, 55, 53, 53]"
133,"[57, 55, 53, 55]"
134,"[57, 55, 53, 57]"
135,"[53, 57, 57, 55]"
136,"[53, 55, 53, 57]"
137,"[53, 55, 57, 55]"
138,"[53, 53, 55, 57]"
139,"[55, 55, 53, 55]"
140,"[55, 53, 55, 57]"
141,"[55, 55, 53, 57]"
142,"[60, 59, 57, 55]"
143,"[60, 57, 57, 55]"
144,"[59, 57, 55, 60]"
145,"[60, 60, 59, 57]"
146,"[57, 55, 59, 55]"
147,"[59, 59, 57, 60]"
148,"[55, 57, 59, 60]"
149,"[59, 59, 57, 60]"
150,"[60, 59, 59, 55]"
151,"[57, 55, 60, 59]"
152,"[55, 59, 57, 59, 58]"
153,"[59, 55, 60, 55]"
154,"[59, 57, 55, 53]"
155,"[57, 55, 53, 59]"
156,"[60, 60, 57, 55]"
157,"[60, 55, 55, 60]"
158,"[60, 59, 57, 55]"
159,"[53, 55, 57, 60]"
160,"[60, 53, 60, 53]"
161,"[53, 53, 55]"
162,"[57, 53, 55, 57, 59]"
163,"[55, 57, 59, 53]"
164,"[59, 57, 53, 59]"
